"","Strike","Price","Continent","Verb"
"1",18,32.7260368260754,"Europe","call"
"2",19,31.77993967228,"Europe","call"
"3",20,30.8338425184846,"Europe","call"
"4",21,29.8877453646892,"Europe","call"
"5",22,28.9659052934546,"Europe","call"
"6",23,28.0448412822511,"Europe","call"
"7",24,27.1237772710476,"Europe","call"
"8",25,26.2027132598441,"Europe","call"
"9",26,25.3319330197245,"Europe","call"
"10",27,24.4615671238386,"Europe","call"
"11",28,23.5912012279527,"Europe","call"
"12",29,22.7208353320669,"Europe","call"
"13",30,21.8730206972472,"Europe","call"
"14",31,21.0885535417612,"Europe","call"
"15",32,20.3040863862752,"Europe","call"
"16",33,19.5196192307892,"Europe","call"
"17",34,18.7351520753032,"Europe","call"
"18",35,17.9506849198172,"Europe","call"
"19",36,17.2446720150043,"Europe","call"
"20",37,16.5830040664104,"Europe","call"
"21",38,15.9213361178165,"Europe","call"
"22",39,15.2596681692225,"Europe","call"
"23",40,14.5980002206286,"Europe","call"
"24",41,13.9363322720346,"Europe","call"
"25",42,13.2746643234407,"Europe","call"
"26",43,12.7547611415216,"Europe","call"
"27",44,12.2420459066051,"Europe","call"
"28",45,11.7293306716885,"Europe","call"
"29",46,11.2166154367719,"Europe","call"
"30",47,10.7039002018553,"Europe","call"
"31",48,10.1911849669387,"Europe","call"
"32",49,9.67846973202216,"Europe","call"
"33",50,9.16575449710559,"Europe","call"
"34",51,8.80682923968337,"Europe","call"
"35",52,8.44790398226115,"Europe","call"
"36",53,8.08897872483893,"Europe","call"
"37",54,7.73005346741671,"Europe","call"
"38",55,7.3711282099945,"Europe","call"
"39",56,7.01220295257228,"Europe","call"
"40",57,6.65327769515006,"Europe","call"
"41",58,6.29435243772784,"Europe","call"
"42",59,5.93542718030562,"Europe","call"
"43",60,5.65017071784261,"Europe","call"
"44",61,5.42654098612242,"Europe","call"
"45",62,5.20291125440222,"Europe","call"
"46",63,4.97928152268203,"Europe","call"
"47",64,4.75565179096183,"Europe","call"
"48",65,4.53202205924164,"Europe","call"
"49",66,4.30839232752144,"Europe","call"
"50",67,4.08476259580125,"Europe","call"
"51",68,3.86113286408105,"Europe","call"
"52",69,3.63750313236086,"Europe","call"
"53",70,3.41387340064066,"Europe","call"
"54",71,3.22072645932836,"Europe","call"
"55",72,3.09840982460278,"Europe","call"
"56",73,2.9760931898772,"Europe","call"
"57",74,2.85377655515162,"Europe","call"
"58",75,2.73145992042604,"Europe","call"
"59",76,2.60914328570046,"Europe","call"
"60",77,2.48682665097488,"Europe","call"
"61",78,2.36451001624929,"Europe","call"
"62",18,0.0202467308172943,"Europe","put"
"63",19,0.0349390161742152,"Europe","put"
"64",20,0.049631301531136,"Europe","put"
"65",21,0.0643235868880568,"Europe","put"
"66",22,0.103272954805735,"Europe","put"
"67",23,0.142998382754581,"Europe","put"
"68",24,0.182723810703426,"Europe","put"
"69",25,0.222449238652273,"Europe","put"
"70",26,0.31245843768492,"Europe","put"
"71",27,0.40288198095139,"Europe","put"
"72",28,0.49330552421786,"Europe","put"
"73",29,0.583729067484329,"Europe","put"
"74",30,0.696703871816964,"Europe","put"
"75",31,0.873026155483295,"Europe","put"
"76",32,1.04934843914963,"Europe","put"
"77",33,1.22567072281596,"Europe","put"
"78",34,1.40199300648229,"Europe","put"
"79",35,1.57831529014862,"Europe","put"
"80",36,1.83309182448805,"Europe","put"
"81",37,2.13221331504643,"Europe","put"
"82",38,2.43133480560482,"Europe","put"
"83",39,2.7304562961632,"Europe","put"
"84",40,3.02957778672158,"Europe","put"
"85",41,3.32869927727997,"Europe","put"
