"","Time","Price","Continent","Verb"
"1",1,7.42580466198778,"Europe","call"
"2",2,10.1911849669387,"Europe","call"
"3",3,12.3599413045443,"Europe","call"
"4",4,14.2041770740824,"Europe","call"
"5",5,15.8323187798105,"Europe","call"
"6",6,17.3012086830983,"Europe","call"
"7",7,18.6452962949385,"Europe","call"
"8",8,19.8874649368259,"Europe","call"
"9",9,21.0439152706188,"Europe","call"
"10",10,22.1266691151068,"Europe","call"
"11",11,23.1449760470023,"Europe","call"
"12",12,24.1061599929266,"Europe","call"
"13",13,25.0161570481474,"Europe","call"
"14",14,25.8798723528687,"Europe","call"
"15",15,26.7014255660291,"Europe","call"
"16",16,27.4843248852309,"Europe","call"
"17",17,28.231593626769,"Europe","call"
"18",18,28.9458643657774,"Europe","call"
"19",19,29.6294503196886,"Europe","call"
"20",20,30.2844004071664,"Europe","call"
"21",21,30.9125423635419,"Europe","call"
"22",22,31.5155169635628,"Europe","call"
"23",23,32.0948055182906,"Europe","call"
"24",24,32.6517522126097,"Europe","call"
"25",25,33.187582434011,"Europe","call"
"26",26,33.7034179502066,"Europe","call"
"27",27,34.200289583171,"Europe","call"
"28",28,34.6791478745849,"Europe","call"
"29",29,35.1408721252302,"Europe","call"
"30",30,35.5862781070209,"Europe","call"
"31",31,36.0161246831018,"Europe","call"
"32",32,36.4311195232156,"Europe","call"
"33",33,36.8319240644127,"Europe","call"
"34",34,37.2191578383331,"Europe","call"
"35",35,37.5934022636899,"Europe","call"
"36",36,37.9552039847308,"Europe","call"
"37",37,38.3050778222549,"Europe","call"
"38",38,38.643509392376,"Europe","call"
"39",39,38.9709574390476,"Europe","call"
"40",40,39.2878559189105,"Europe","call"
"41",41,39.5946158709414,"Europe","call"
"42",42,39.8916270983873,"Europe","call"
"43",43,40.1792596863471,"Europe","call"
"44",44,40.4578653749421,"Europe","call"
"45",45,40.7277788051701,"Europe","call"
"46",46,40.9893186521477,"Europe","call"
"47",47,41.2427886584428,"Europe","call"
"48",48,41.4884785785037,"Europe","call"
"49",49,41.7266650437549,"Europe","call"
"50",50,41.9576123567096,"Europe","call"
"51",1,4.47534098071209,"Europe","put"
"52",2,6.30907804625036,"Europe","put"
"53",3,7.56463891658834,"Europe","put"
"54",4,8.51376170064107,"Europe","put"
"55",5,9.26451484553675,"Europe","put"
"56",6,9.87338964552208,"Europe","put"
"57",7,10.3744915940815,"Europe","put"
"58",8,10.7903668072044,"Europe","put"
"59",9,11.1368854183602,"Europe","put"
"60",10,11.4257452628503,"Europe","put"
"61",11,11.6658783492017,"Europe","put"
"62",12,11.8642973241216,"Europe","put"
"63",13,12.0266331667191,"Europe","put"
"64",14,12.157491942744,"Europe","put"
"65",15,12.2607001587521,"Europe","put"
"66",16,12.3394786647686,"Europe","put"
"67",17,12.3965691193749,"Europe","put"
"68",18,12.4343280171876,"Europe","put"
"69",19,12.4547979618823,"Europe","put"
